f⍥g Y,"Over: f on the result of g on Y, that is, f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Over.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
Is f/Y,N-wise Reduce: f between all items of Y in groups of Is on last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20N%20Wise.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Iv/Y,Replicate along last axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Av/Y,Filtering columns of Y according to mask Av <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
f/Y,Reduce: f between all items of Y on last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
Is f⌿Y,N-wise Reduce First: f between all items of Y in groups of Is on first axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First%20N%20Wise.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Monadic Operator,Function Application,"
Iv⌿Y,Replicate along leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
Av⌿Y,Filtering major cells of Y according to mask Av <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
f⌿Y,Reduce First: f between all items of Y on first axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First.htm'>Link to docs<a/>,"Primitive,Monadic Function,Monadic Operator,Function Application,"
X f⍤g Y,"Atop: f on the result of X g Y, that is, f X g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Atop.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
f⍤g Y,"Atop: f on the result of g on Y, that is, f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Atop.htm'>Link to docs<a/>","Primitive,Monadic Function,Dyadic Operator,Composition,"
A⍱B,Logical NOR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Nor%20Symbol.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
A⍲B,Logical NAND <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Nand%20Symbol.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Boolean/Logical,"
",Y",Ravel: Reshape into a vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
"X,Y",Catenate: Join along last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
"Xm,Ys",Append scalar to each row of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
"Xm,Yv",Append elements of vector to respective rows of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
⍪Y,Table: Reshape into 2-dimensional array <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
⍪Y,Ravel planes of rank 3 array Y to form rows of a matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
⍪Yv,Reshaping vector Yv into a one-column matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
X⍪Y,Catenate First: Join along leading axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Xm⍪Ys,Append scalar to each column of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
Xm⍪Yv,Append elements of vector to respective columns of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Structural,"
⊃Y,First item of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Disclose.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Selection,"
Iv⊃Y,Reach into Y along path given by Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Pick.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
⊂Y,Enclose: Scalar containing Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enclose.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
Av⊂Y,Partitioned enclose of Y according to Av (along last axis) beginning enclosures on 1s <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partitioned%20Enclose.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
⊆Y,"Nest: Y if already nested, else scalar containing Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Nest.htm'>Link to docs<a/>","Primitive,Monadic Function,nan,Structural,"
Mv⊆Y,Partition Y according to Mv (along last axis) beginning partitions on increases <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partition.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
⌷Y,Materialise items of Y in workspace <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Materialise.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Identity,"
Iv⌷Y,Index Y using indices Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20with%20Axes.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Selection,"
⍳Js,Integers from 1 to Js <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Generator.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
⍳Jv,Indices of all items of array of shape Jv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Generator.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
X⍳Y,Index of: First indices in X of major cells Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Of.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
Xv⍳Y,Index of keys Y in key vector Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Of.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
∊Y,Enlist: Simple vector from elements of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enlist.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Structural,"
X∊Y,"For each item of X, 1 if found in Y, else 0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Membership.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Sets,"
⍸B,Indices of all 1s in B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Where.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Index Generation,"
⍸Bm,List of arcs from adjacency matrix Bm <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Where.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Mathematical,"
X⍸Y,Indices of major cells of Y in left-inclusive intervals with cut-offs X <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Interval%20Index.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Index Generation,"
∪Y,Unique: Distinct major cells of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Unique.htm'>Link to docs<a/>,"Primitive,Monadic Function,nan,Sets,"
Xv∪Yv,"Union: Xv,Yv~Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Union.htm'>Link to docs<a/>","Primitive,Dyadic Function,nan,Sets,"
Xv∩Yv,Intersection: (Xv∊Yv)/Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Intersection.htm'>Link to docs<a/>,"Primitive,Dyadic Function,nan,Sets,"
X f⍣g Y,Power: iterating X∘f on Y until condition (f Y) g Y is true <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Dyadic Function,Dyadic Operator,Iteration,"
f⍣g Y,Power: iterating f on Y until condition (f Y) g Y is true <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Power%20Operator.htm'>Link to docs<a/>,"Primitive,Monadic Function,Dyadic Operator,Iteration,"
