⍬,Empty Numeric Vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Zilde%20Symbol.htm'>Link to docs<a/>
Xv~Y,Without: (~Xv∊Y)/Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Excluding.htm'>Link to docs<a/>
X Y⍨Z,Constant: ignore arguments and return Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>
X f⍨Y,Commute: same as Y f X <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>
X f⍨Y,Church Boolean Logical Inverse <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>
Y⍨Z,Constant: ignore argument and return Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Constant.htm'>Link to docs<a/>
f⍨Y,Selfie: same as Y f Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Commute.htm'>Link to docs<a/>
X f∘g Y,"Beside: X∘f on the result of g on Y, that is, X f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Beside.htm'>Link to docs<a/>"
X∘g Y,"Curry: g between X and Y, that is, XgY <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Bind.htm'>Link to docs<a/>"
f∘g Y,"Beside: f on the result of g on Y, that is, f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Beside.htm'>Link to docs<a/>"
X f¨Y,Each: f between items of X and Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Each%20with%20Dyadic%20Operand.htm'>Link to docs<a/>
f¨Y,Each: f on items of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Each%20with%20Monadic%20Operand.htm'>Link to docs<a/>
X f⍥g Y,Over: preprocess (g) arguments before applying main function (f) <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Over.htm?Highlight=%E2%8D%A5'>Link to docs<a/>
f⍥g Y,"Over: f on the result of g on Y, that is, f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Over.htm'>Link to docs<a/>"
Is f/Y,N-wise Reduce: f between all items of Y in groups of Is on last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20N%20Wise.htm'>Link to docs<a/>
Iv/Y,Replicate along last axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>
Av/Y,Filtering columns of Y according to mask Av <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>
f/Y,Reduce: f between all items of Y on last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce.htm'>Link to docs<a/>
Is f⌿Y,N-wise Reduce First: f between all items of Y in groups of Is on first axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First%20N%20Wise.htm'>Link to docs<a/>
Iv⌿Y,Replicate along leading axis of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>
Av⌿Y,Filtering major cells of Y according to mask Av <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Replicate.htm'>Link to docs<a/>
f⌿Y,Reduce First: f between all items of Y on first axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Reduce%20First.htm'>Link to docs<a/>
X f⍤g Y,"Atop: f on the result of X g Y, that is, f X g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Atop.htm'>Link to docs<a/>"
f⍤g Y,"Atop: f on the result of g on Y, that is, f g Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Operators/Atop.htm'>Link to docs<a/>"
A⍱B,Logical NOR <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Nor%20Symbol.htm'>Link to docs<a/>
A⍲B,Logical NAND <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Symbols/Nand%20Symbol.htm'>Link to docs<a/>
",Y",Ravel: Reshape into a vector <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Ravel.htm'>Link to docs<a/>
"X,Y",Catenate: Join along last axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>
"Xm,Ys",Append scalar to each row of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>
"Xm,Yv",Append elements of vector to respective rows of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20Laminate.htm'>Link to docs<a/>
⍪Y,Table: Reshape into 2-dimensional array <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>
⍪Y,Ravel planes of rank 3 array Y to form rows of a matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>
⍪Yv,Reshaping vector Yv into a one-column matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Table.htm'>Link to docs<a/>
X⍪Y,Catenate First: Join along leading axis <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>
Xm⍪Ys,Append scalar to each column of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>
Xm⍪Yv,Append elements of vector to respective columns of matrix <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Catenate%20First.htm'>Link to docs<a/>
⊃Y,First item of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Disclose.htm'>Link to docs<a/>
Iv⊃Y,Reach into Y along path given by Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Pick.htm'>Link to docs<a/>
⊂Y,Enclose: Scalar containing Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enclose.htm'>Link to docs<a/>
Av⊂Y,Partitioned enclose of Y according to Av (along last axis) beginning enclosures on 1s <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partitioned%20Enclose.htm'>Link to docs<a/>
⊆Y,"Nest: Y if already nested, else scalar containing Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Nest.htm'>Link to docs<a/>"
Mv⊆Y,Partition Y according to Mv (along last axis) beginning partitions on increases <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Partition.htm'>Link to docs<a/>
⌷Y,Materialise items of Y in workspace <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Materialise.htm'>Link to docs<a/>
Iv⌷Y,Index Y using indices Iv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20with%20Axes.htm'>Link to docs<a/>
⍳Js,Integers from 1 to Js <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Generator.htm'>Link to docs<a/>
⍳Jv,Indices of all items of array of shape Jv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Generator.htm'>Link to docs<a/>
X⍳Y,Index of: First indices in X of major cells Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Of.htm'>Link to docs<a/>
Xv⍳Y,Index of keys Y in key vector Xv <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Index%20Of.htm'>Link to docs<a/>
∊Y,Enlist: Simple vector from elements of Y <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Enlist.htm'>Link to docs<a/>
X∊Y,"For each item of X, 1 if found in Y, else 0 <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Membership.htm'>Link to docs<a/>"
⍸B,Indices of all 1s in B <br/> <br/><a href='https://help.dyalog.com/latest/#Language/Primitive%20Functions/Where.htm'>Link to docs<a/>
